genetics,0,1,Genetics,string,,,,,,,,
genetic_event,0,1,Genetic Event,string,,,,,,,,
previous_crop,0,1,Previous Crops,multi_select,,,,,,,,
seed_protector,0,1,Seed Protector,string,,,,,,,,
seed_protector_description,0,1,Protector Description,string,,,,,,,,
space_between_rows_m,0,1,Space Between Rows,number,inches,,,"decimal:0,2|isNumber:|range:0,MAX,false,false",,,,
seeds_per_m2,2,1,Seed Density,target_result,seeds/ft2,seeds/ft2,seeds/ft2,,,,"decimal:0,2|isNumber:|range:0,MAX,false,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
kg_per_m2,2,1,Seed Weight,target_result,lb/ac,lb/ac,lb/ac,,,,"decimal:0,2|isNumber:|range:0,MAX,false,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
plant_per_m2,2,1,Plant Density,target_result,plants/ft2,plants/ft2,plants/ft2,,,,"decimal:0,2|isNumber:|range:0,MAX,false,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
achievement_coefficiency,2,100,Achievement Coefficiency,target_result,%,%,%,,,,"decimal:0,2|isNumber:|range:0,100,false,true","decimal:0,2|isNumber:|range:0,100,true,true"
kg_per_1000_seeds,3,1,1000 Seed Weight,number,lb,lb,lb,"decimal:0,3|isNumber:|range:0,MAX,true,false",,,,
germinative_power,2,100,Germinative Power,number,%,%,%,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
uniformity,2,100,Uniformity of Sowing,number,%,%,%,"decimal:0,2|isNumber:|range:0,100,false,true",,,,
crop_class,0,1,Crop Class,string,,,,,,,,
expected_yield_kg_per_m2,0,1,Expected Yield,number,lb/ac,lb/ac,lb/ac,"decimal:0,0|isNumber:|range:0,MAX,false,false",,,,
cycle_duration,0,1,Cycle Duration,select,,,,,,,,
dose_kg_per_m2,3,1,Fertilizer Dose,target_result,lb/ac,lb/ac,lb/ac,,,,"decimal:0,3|isNumber:|range:0,MAX,false,false","decimal:0,3|isNumber:|range:0,MAX,false,false"
nitrogen_fraction,2,100,Nitrogen,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
phosphate_fraction,2,100,Phosphate,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
sulphur_fraction,2,100,Sulfur,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
potash_fraction,2,100,Potash,number,%,,,"decimal:0,2|isNumber:|range:0,100,true,true",,,,
actual_yield,0,1,Actual Yield,volume_mass,gal/ac,lb/ac,,,,,,
predicted_yield,0,1,Predicted Yield,volume_mass,gal/ac,lb/ac,,,"range:0,MAX,true,false","range:0,MAX,true,false",,
yield_driver_element,0,1,,element,lb/ac,,,,,,,
yield_rate,2,100,Yield Rate,number,%,,,"range:0,MAX,true,false",,,,
yield_kg_per_ha,0,1,Yield,number,lb/ac,,,"range:0,MAX,true,false",,,,
disease_reason,0,1,Disease Reason,string,,,,,,,,
disease_type,0,1,Disease Type,string,,,,,,,,
disease_controlled,0,1,Disease Controlled,string,,,,,,,,
application_name,0,1,Application Name,string,,,,,,,,
application_type,0,1,Application Type,string,,,,,,,,
application_method,0,1,Application Method,string,,,,,,,,
material_unit,0,1,Material unit,string,,,,,,,,
total_material,2,1,Total Material,target_result,,,,,,,"decimal:0,2|isNumber:|range:0,MAX,false,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
average_material_per_ha,2,1,Avg. Material,target_result,,,,,,,"decimal:0,2|isNumber:|range:0,MAX,true,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
average_speed_km_per_hour,2,1,Avg. Speed,target_result,,,,,,,"decimal:0,2|isNumber:|range:0,MAX,true,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
area_ha,2,1,Area,target_result,,,,,,,"decimal:0,2|isNumber:|range:0,MAX,true,false","decimal:0,2|isNumber:|range:0,MAX,true,false"
crop_descripiton,0,1,Crop Descripiton,string,,,,,,,,
yield_per_m2_planted,0,1,Planted Yield,volume_mass,lb/ac,bu/ac,,,"decimal:0,0|isNumber:|range:0,MAX,true,false","decimal:0,1|isNumber:|range:0,MAX,true,false",,
yield_per_m2_harvested,0,1,Harvested Yield,volume_mass,bu/ac,lb/ac,,,"decimal:0,0|isNumber:|range:0,MAX,true,false","decimal:0,0|isNumber:|range:0,MAX,true,false",,
total_production,0,1,Total Production,volume_mass,gal/ac,lb/ac,,,"decimal:0,0|isNumber:|range:0,MAX,true,false","decimal:0,0|isNumber:|range:0,MAX,true,false",,
wet_yield_per_m2_planted,0,1,Planted Wet Yield,volume_mass,gal/ac,lb/ac,,,"decimal:0,0|isNumber:|range:0,MAX,true,false","decimal:0,0|isNumber:|range:0,MAX,true,false",,
wet_yield_per_m2_harvested,0,1,Harvested Wet Yield,volume_mass,lb/ac,gal/ac,,,"decimal:0,0|isNumber:|range:0,MAX,true,false","decimal:0,0|isNumber:|range:0,MAX,true,false",,
